Rk,Team,Tournament_Seed_From_Pasted_Table,Conf,W-L,Wins,Losses,NetRtg,ORtg,ORtg_Rk,DRtg,DRtg_Rk,AdjT,AdjT_Rk,Luck,Luck_Rk,SOS_NetRtg,SOS_NetRtg_Rk,SOS_ORtg,SOS_ORtg_Rk,SOS_DRtg,SOS_DRtg_Rk,NCSOS_NetRtg,NCSOS_NetRtg_Rk
241,Abilene Christian,,WAC,14-19,14,19,-6.54,101.1,312,107.6,140,67.8,149,0.029,112,0.22,149,108.3,209,108.0,128,0.88,156
242,Vermont,,AE,22-12,22,12,-6.54,106.0,229,112.6,247,64.9,310,0.008,172,-11.04,357,102.9,348,114.0,350,-2.44,256
243,Bethune Cookman,,SWAC,17-15,17,15,-6.59,103.6,277,110.2,196,69.1,88,0.069,32,-7.14,304,104.8,307,111.9,272,13.73,6
244,Florida Gulf Coast,,ASun,16-18,16,18,-6.59,105.6,242,112.1,239,67.6,171,-0.029,263,-5.83,283,108.0,224,113.9,346,0.26,180
245,Texas St.,,SB,19-13,19,13,-6.64,104.0,272,110.6,208,66.0,255,0.084,22,-6.83,298,105.4,298,112.2,288,-9.1,358
246,UNC Asheville,,BSth,15-17,15,17,-6.75,104.7,258,111.5,221,64.8,314,-0.016,229,-3.73,242,107.9,231,111.6,263,1.09,153
247,Coastal Carolina,,SB,19-13,19,13,-6.85,101.8,305,108.6,159,66.9,211,0.132,4,-4.95,265,106.8,275,111.8,266,-2.15,249
248,Old Dominion,,SB,12-21,12,21,-7.01,106.0,228,113.0,253,69.0,91,-0.073,339,-3.06,224,108.2,211,111.3,239,4.57,78
249,Idaho St.,,BSky,13-20,13,20,-7.06,109.5,163,116.6,314,65.5,281,-0.035,283,-0.64,166,109.0,165,109.6,176,3.4,97
250,Colgate,,PL,18-15,18,15,-7.08,107.7,196,114.8,290,66.9,209,0.044,71,-6.99,299,106.1,285,113.1,327,5.15,68
251,Southern Utah,,WAC,10-22,10,22,-7.12,106.6,219,113.7,268,70.3,34,-0.053,312,2.14,110,108.6,190,106.5,90,5.74,57
252,Princeton,,Ivy,9-20,9,20,-7.26,105.4,245,112.7,251,63.5,345,-0.077,341,-1.05,180,108.9,171,109.9,193,-0.63,200
253,Wofford,,SC,19-13,19,13,-7.37,109.1,170,116.5,313,67.8,152,0.073,26,-7.64,313,107.9,234,115.5,365,-4.43,294
254,East Carolina,,Amer,11-20,11,20,-7.43,103.7,276,111.1,214,68.6,110,-0.006,198,-0.52,163,109.5,143,110.0,194,-2.98,264
255,Saint Peter's,,MAAC,17-12,17,12,-7.55,103.0,287,110.5,203,65.5,280,0.066,38,-8.06,321,103.9,322,112.0,277,-1.07,218
256,SIUE,,OVC,19-13,19,13,-7.58,99.5,330,107.1,131,64.4,329,-0.007,206,-10.78,354,102.3,357,113.1,328,-7.8,345
